#
 0,                   RS,LGBM,  0.01,  0.02, *                   |                   
 0,                   DS,LGBM,  0.01,  0.03, *                   |                   
 0,                  non,LGBM,  0.01,  0.03, *                   |                   
#
 1,                    DS,SVR,  0.05,  0.42, *  ---------        |                   
#
 2,                    RS,SVR,  0.10,  0.46, *  ---------        |                   
 2,                   non,SVR,  0.10,  0.49, *  ----------       |                   
#
 3,               kmeans-1,k1,  0.30,  0.89,   *    -------------|                   
 3,                    RS,LSR,  0.37,  0.30, - *----             |                   
 3,               kmeans-5,k5,  0.37,  0.82,   *   --------      |                   
 3,                    non,LR,  0.38,  0.32, - * ----            |                   
#
 4,               kmeans-5,k1,  0.39,  0.93,   *    ------------ |                   
 4,                     DS,LR,  0.39,  0.31, - * ---             |                   
 4,                     RS,RR,  0.39,  0.36, - * ----            |                   
 4,                     DS,RR,  0.39,  0.31, - * ----            |                   
 4,                    non,RR,  0.39,  0.30, - * ----            |                   
 4,                   non,LSR,  0.41,  0.31, -  *----            |                   
 4,               kmeans-3,k1,  0.42,  0.91,    *   -------------|                   
 4,               kmeans-5,k3,  0.42,  0.95, -  *    --------    |                   
 4,                    DS,LSR,  0.43,  0.33, -- *-----           |                   
 4,               kmeans-3,k3,  0.44,  0.87, -  *   -------      |                   
 4,                     RS,LR,  0.45,  0.31, -- *----            |                   
 4,                   DS,asIs,  0.45,  0.61, -  *  -----         |                   
 4,                  non,asIs,  0.48,  0.63, -  *  -----         |                   
 4,                   RS,asIs,  0.51,  0.59, -  *  -----         |                   


