#
 0,                  smart,40,  0.21,  0.08,  - *  -             |                   
 0,                  smart,50,  0.23,  0.04,   - *--             |                   
#
 1,                   dumb,50,  0.25,  0.04,     -*-             |                   
 1,                  smart,30,  0.25,  0.04,   ---* --           |                   
 1,                   dumb,40,  0.25,  0.07,   -- * ---          |                   
 1,                   dumb,30,  0.27,  0.06,    -- * --          |                   
#
 2,                  smart,20,  0.31,  0.06,    ---  *--------   |                   
 2,                   dumb,20,  0.32,  0.06,     --  *--         |                   
#
 3,                asIs,10000,  0.59,  0.13,           ------    |*------------      
