#
 0,                  DS2,asIs,  0.00,  1.23,              ---   *|---                
 0,                   non,SVR, -0.00,  0.11,                    *|                   
 0,                   DS2,SVR, -0.00,  0.42,                 -- *|-                  
 0,                  non,LGBM,  0.00,  0.17,                    *|                   
 0,                     RS,RR,  0.01,  0.35,                 -- *|                   
 0,                    DS,SVR,  0.01,  0.44,                --- *|-                  
 0,                   DS,asIs,  0.02,  1.19,              ---   *|---                
 0,                    RS,SVR,  0.02,  0.56,                --- *|--                 
 0,                    RS,LSR,  0.03,  0.34,                 -- *|                   
 0,               kmeans-1,k1, -0.04,  1.55,           -----    *| ----              
 0,                   non,LSR,  0.04,  0.30,                  - *|                   
 0,                    non,LR,  0.05,  0.27,                  - *|                   
 0,                    non,RR,  0.05,  0.29,                  - *|                   
 0,                    DS2,LR,  0.05,  0.28,                  - *|                   
 0,                     RS,LR,  0.06,  0.34,                 -- *|                   
 0,               kmeans-3,k1, -0.07,  1.56,           -----   * | ----              
 0,                    DS2,RR,  0.07,  0.29,                  - *|                   
 0,                     DS,LR,  0.07,  0.29,                  - *|                   
 0,                  DS2,LGBM, -0.07,  1.03,              ---  * |--                 
 0,                   RS,asIs,  0.08,  1.22,              ---   *|----               
 0,                   DS2,LSR,  0.08,  0.31,                  - *|                   
 0,                     DS,RR,  0.08,  0.28,                  - *|                   
 0,                   RS,LGBM,  0.09,  1.38,              ---   *| ---               
 0,                    DS,LSR,  0.09,  0.32,                  - *|                   
 0,                   DS,LGBM, -0.09,  1.15,              ---  * |---                
 0,               kmeans-3,k3, -0.12,  1.29,             ----  * |-----              
 0,               kmeans-5,k1, -0.12,  1.60,           -----   * | -----             
 0,                  non,asIs,  0.14,  1.22,               ---  *| ---               
 0,               kmeans-5,k5, -0.15,  1.02,             ----  * |----               
 0,               kmeans-5,k3, -0.17,  1.27,            ----   * |----               


